"fzg_typ","origin","messwerttyp_translated","messwerttyp"
"V177","Assembly","5-6_2RG","5-6_2RSG"
"V177","Assembly","5-6_2RF","5-6_2RUF"
"V177","Assembly","5-6_4LG","5-6_4LSG"
"V177","Assembly","5-6_4LF","5-6_4LUF"
"V177","Assembly","5-6_4RG","5-6_4RSG"
"V177","Assembly","5-6_4RF","5-6_4RUF"
"V177","Assembly","6-7_2LG","6-7_2LSG"
"V177","Assembly","6-7_2LF","6-7_2LUF"
"V177","Assembly","6-7_2RG","6-7_2RSG"
"V177","Assembly","6-7_2RF","6-7_2RUF"
"V177","Assembly","6-7_5LG","6-7_5RSG"
"V177","Assembly","6-7_5LF","6-7_5LSG"
"V177","Assembly","6-7_5RG","6-7_5LUF"
"V177","Assembly","6-7_5RF","6-7_5RUF"
"V177","Assembly","7-8_2LG","7-8_2LSG"
"V177","Assembly","7-8_2LF","7-8_2LUF"
"V177","Assembly","7-8_2RG","7-8_2RSG"
"V177","Assembly","7-8_2RF","7-8_2RUF"
"V177","Assembly","7-8_6LG","7-8_6LSG"
"V177","Assembly","7-8_6LF","7-8_6LUF"
"V177","Assembly","7-8_6RG","7-8_6RSG"
"V177","Assembly","7-8_6RF","7-8_6RUF"
"V177","Assembly","7-8_B_9LG","7-8_B_9LSG"
"V177","Assembly","7-8_B_9RG","7-8_B_9RSG"
"W247","Assembly","1-10_3LG","1-10_3LSG"
"W247","Assembly","1-10_3LF","1-10_3LUF"
"W247","Assembly","1-10_3RG","1-10_3RSG"
"W247","Assembly","1-10_3RF","1-10_3RUF"
"W247","Assembly","1-5_3LG","1-5_3LSG"
"W247","Assembly","1-5_3LF","1-5_3LUF"
"W247","Assembly","1-5_3RG","1-5_3RSG"
"W247","Assembly","1-5_3RF","1-5_3RUF"
"W247","Assembly","1-5_5LG","1-5_5LSG"
"W247","Assembly","1-5_5LF","1-5_5LUF"
"W247","Assembly","1-5_5RG","1-5_5RSG"
"W247","Assembly","1-5_5RF","1-5_5RUF"
"W247","Assembly","5-6_2LG","5-6_2LSG"
"W247","Assembly","5-6_2LF","5-6_2LUF"
"W247","Assembly","5-6_2RG","5-6_2RSG"
"W247","Assembly","5-6_2RF","5-6_2RUF"
"W247","Assembly","5-6_4LG","5-6_4LSG"
"W247","Assembly","5-6_4LF","5-6_4LUF"
"W247","Assembly","5-6_4RG","5-6_4RSG"
"W247","Assembly","5-6_4RF","5-6_4RUF"
"W247","Assembly","6-7_2LG","6-7_2LSG"
"W247","Assembly","6-7_2LF","6-7_2LUF"
"W247","Assembly","6-7_2RG","6-7_2RSG"
"W247","Assembly","6-7_2RF","6-7_2RUF"
"W247","Assembly","6-7_5LG","6-7_5LSG"
"W247","Assembly","6-7_5LF","6-7_5LUF"
"W247","Assembly","6-7_5RG","6-7_5RSG"
"W247","Assembly","6-7_5RF","6-7_5RUF"
"W247","Assembly","7-8_2LG","7-8_2LSG"
"W247","Assembly","7-8_2LF","7-8_2LUF"
"W247","Assembly","7-8_2RG","7-8_2RSG"
"W247","Assembly","7-8_2RF","7-8_2RUF"
"W247","Assembly","7-8_5LG","7-8_5LSG"
"W247","Assembly","7-8_5LF","7-8_5LUF"
"W247","Assembly","7-8_5RG","7-8_5RSG"
"W247","Assembly","7-8_5RF","7-8_5RUF"
"W247","Assembly","7-8_8LG","7-8_8LSG"
"W247","Assembly","7-8_8LF","7-8_8LUF"
"W247","Assembly","7-8_8RG","7-8_8RSG"
"W247","Assembly","7-8_8RF","7-8_8RUF"
"H247","Assembly","1-10_3LG","1-10_3LSG"
"H247","Assembly","1-10_3LF","1-10_3LUF"
"H247","Assembly","1-10_3RG","1-10_3RSG"
"H247","Assembly","1-10_3RF","1-10_3RUF"
"H247","Assembly","1-5_3LG","1-5_3LSG"
"H247","Assembly","1-5_3LF","1-5_3LUF"
"H247","Assembly","1-5_3RG","1-5_3RSG"
"H247","Assembly","1-5_3RF","1-5_3RUF"
"H247","Assembly","1-5_5LG","1-5_5LSG"
"H247","Assembly","1-5_5LF","1-5_5LUF"
"H247","Assembly","1-5_5RG","1-5_5RSG"
"H247","Assembly","1-5_5RF","1-5_5RUF"
"H247","Assembly","5-6_2LG","5-6_2LSG"
"H247","Assembly","5-6_2LF","5-6_2LUF"
"H247","Assembly","5-6_2RG","5-6_2RSG"
"H247","Assembly","5-6_2RF","5-6_2RUF"
"H247","Assembly","5-6_4LG","5-6_4LSG"
"H247","Assembly","5-6_4LF","5-6_4LUF"
"H247","Assembly","5-6_4RG","5-6_4RSG"
"H247","Assembly","5-6_4RF","5-6_4RUF"
"H247","Assembly","6-7_2LG","6-7_2LSG"
"H247","Assembly","6-7_2LF","6-7_2LUF"
"H247","Assembly","6-7_2RG","6-7_2RSG"
"H247","Assembly","6-7_2RF","6-7_2RUF"
"H247","Assembly","6-7_5LG","6-7_5LSG"
"H247","Assembly","6-7_5LF","6-7_5LUF"
"H247","Assembly","6-7_5RG","6-7_5RSG"
"H247","Assembly","6-7_5RF","6-7_5RUF"
"H247","Assembly","7-8_2LG","7-8_2LSG"
"H247","Assembly","7-8_2LF","7-8_2LUF"
"H247","Assembly","7-8_2RG","7-8_2RSG"
"H247","Assembly","7-8_2RF","7-8_2RUF"
"H247","Assembly","7-8_6LG","7-8_6LSG"
"H247","Assembly","7-8_6LF","7-8_6LUF"
"H247","Assembly","7-8_6RG","7-8_6RSG"
"H247","Assembly","7-8_6RF","7-8_6RUF"
"H247","Assembly","7-8_9LG","7-8_9LSG"
"H247","Assembly","7-8_9RG","7-8_9RSG"
"H243","Assembly","1-10_3LG","1-10_3LSG"
"H243","Assembly","1-10_3LF","1-10_3LUF"
"H243","Assembly","1-10_3RG","1-10_3RSG"
"H243","Assembly","1-10_3RF","1-10_3RUF"
"H243","Assembly","1-5_3LG","1-5_3LSG"
"H243","Assembly","1-5_3LF","1-5_3LUF"
"H243","Assembly","1-5_3RG","1-5_3RSG"
"H243","Assembly","1-5_3RF","1-5_3RUF"
"H243","Assembly","1-5_5LG","1-5_5LSG"
"H243","Assembly","1-5_5LF","1-5_5LUF"
"H243","Assembly","1-5_5RG","1-5_5RSG"
"H243","Assembly","1-5_5RF","1-5_5RUF"
"H243","Assembly","5-6_2LG","5-6_2LSG"
"H243","Assembly","5-6_2LF","5-6_2LUF"
"H243","Assembly","5-6_2RG","5-6_2RSG"
"H243","Assembly","5-6_2RF","5-6_2RUF"
"H243","Assembly","5-6_4LG","5-6_4LSG"
"H243","Assembly","5-6_4LF","5-6_4LUF"
"H243","Assembly","5-6_4RG","5-6_4RSG"
"H243","Assembly","5-6_4RF","5-6_4RUF"
"H243","Assembly","6-7_2LG","6-7_2LSG"
"H243","Assembly","6-7_2LF","6-7_2LUF"
"H243","Assembly","6-7_2RG","6-7_2RSG"
"H243","Assembly","6-7_2RF","6-7_2RUF"
"H243","Assembly","6-7_5LG","6-7_5LSG"
"H243","Assembly","6-7_5LF","6-7_5LUF"
"H243","Assembly","6-7_5RG","6-7_5RSG"
"H243","Assembly","6-7_5RF","6-7_5RUF"
"H243","Assembly","7-8_2LG","7-8_2LSG"
"H243","Assembly","7-8_2LF","7-8_2LUF"
"H243","Assembly","7-8_2RG","7-8_2RSG"
"H243","Assembly","7-8_2RF","7-8_2RUF"
"H243","Assembly","7-8_6LG","7-8_6LSG"
"H243","Assembly","7-8_6LF","7-8_6LUF"
"H243","Assembly","7-8_6RG","7-8_6RSG"
"H243","Assembly","7-8_6RF","7-8_6RUF"
"H243","Assembly","7-8_9LG","7-8_9LSG"
"H243","Assembly","7-8_9RG","7-8_9RSG"
